snr_db,crc_rate_ls,crc_rate_mmse,trials,frames_attempted_ls,frames_ok_ls,frames_attempted_mmse,frames_ok_mmse
0.0,0.0,0.0,30,0,0,0,0
2.0,0.0,0.0,30,0,0,0,0
4.0,0.0,0.0,30,0,0,0,0
6.0,1.0,1.0,30,1,1,1,1
8.0,0.5882352941176471,0.5882352941176471,30,17,10,17,10
10.0,0.8214285714285714,0.8214285714285714,30,28,23,28,23
12.0,0.9655172413793104,0.9655172413793104,30,29,28,29,28
14.0,1.0,1.0,30,30,30,30,30
16.0,1.0,1.0,30,30,30,30,30
18.0,1.0,1.0,30,30,30,30,30
20.0,1.0,1.0,30,30,30,30,30
22.0,1.0,1.0,30,30,30,30,30
24.0,1.0,1.0,30,30,30,30,30
