snr_db,crc_rate_ls,crc_rate_mmse,trials,frames_attempted_ls,frames_ok_ls,frames_attempted_mmse,frames_ok_mmse
0.0,0.0,0.0,30,0,0,0,0
2.0,0.0,0.0,30,0,0,0,0
4.0,0.0,0.0,30,0,0,0,0
6.0,0.0,0.0,30,0,0,0,0
8.0,0.3333333333333333,0.3333333333333333,30,6,2,6,2
10.0,0.23076923076923078,0.23076923076923078,30,13,3,13,3
12.0,0.3333333333333333,0.3333333333333333,30,9,3,9,3
14.0,0.35714285714285715,0.35714285714285715,30,14,5,14,5
16.0,0.15384615384615385,0.15384615384615385,30,13,2,13,2
18.0,0.375,0.375,30,16,6,16,6
20.0,0.36363636363636365,0.36363636363636365,30,11,4,11,4
22.0,0.3333333333333333,0.3333333333333333,30,18,6,18,6
24.0,0.375,0.375,30,16,6,16,6
